iter	MultiClass
0	1.325696173
1	1.129378156
2	1.011510513
3	0.9319397851
4	0.8820893217
5	0.8495765925
6	0.8207615106
7	0.7966569469
8	0.7732662096
9	0.7489992515
10	0.7311960104
11	0.7035831142
12	0.6866792379
13	0.6674369316
14	0.6589185163
15	0.6480600721
16	0.6281638632
17	0.6181269693
18	0.6110926058
19	0.6027333461
20	0.5746673657
21	0.5543551193
22	0.5508216742
23	0.5385304785
24	0.5300171879
25	0.5181697663
26	0.5094781356
27	0.5013727157
28	0.496009952
29	0.4896729461
30	0.4802976264
31	0.4686743162
32	0.4593840415
33	0.4516803547
34	0.4431323004
35	0.4340383435
36	0.4271405658
37	0.4155774343
38	0.4095529685
39	0.402016205
40	0.395325096
41	0.3916727327
42	0.379813522
43	0.3780088195
44	0.3737407063
45	0.3651783243
46	0.3538102763
47	0.3484962054
48	0.3433328952
49	0.3354196948
50	0.3310855995
51	0.3220483321
52	0.3143737363
53	0.3074006518
54	0.3003874969
55	0.2967404543
56	0.290482693
57	0.2850400466
58	0.2817429867
59	0.274998006
60	0.2714828479
61	0.2695867932
62	0.26257675
63	0.2562325027
64	0.2522847349
65	0.2468888423
66	0.2431626642
67	0.2391929513
68	0.2338255614
69	0.2313220359
70	0.2269664245
71	0.2230528711
72	0.2168218769
73	0.2125185584
74	0.2107225289
75	0.2076345642
76	0.2032214894
77	0.1999231895
78	0.197220738
79	0.1946829337
80	0.1927025181
81	0.1905302847
82	0.18917428
83	0.1850951468
84	0.1820032729
85	0.1793606597
86	0.1782975087
87	0.175101265
88	0.1718285481
89	0.1697192207
90	0.167505663
91	0.1655191873
92	0.1622706503
93	0.1600466564
94	0.1567118244
95	0.1555328638
96	0.1528241452
97	0.1508574989
98	0.1493473276
99	0.1471316168
100	0.1453854841
101	0.1441169619
102	0.1425292341
103	0.1406334336
104	0.1383804649
105	0.1366752775
106	0.1350166344
107	0.1334683862
108	0.1317536134
109	0.1302277651
110	0.127603522
111	0.1263459365
112	0.1252644136
113	0.1240696621
114	0.1221387366
115	0.1195721015
116	0.1180945102
117	0.1168443087
118	0.1155702051
119	0.113739978
120	0.1123612611
121	0.110778977
122	0.1093531611
123	0.1084449797
124	0.106886007
125	0.1053783719
126	0.104273024
127	0.1033861426
128	0.1024986254
129	0.1011683874
130	0.09980275975
131	0.09845023825
132	0.09691926187
133	0.09585381457
134	0.09503069158
135	0.09404742324
136	0.09245457662
137	0.09170969551
138	0.09028842254
139	0.08986148617
140	0.08883493644
141	0.08822768624
142	0.08694780634
143	0.08635078854
144	0.08548764232
145	0.08456087608
146	0.08328924748
147	0.08210085946
148	0.08070311626
149	0.0796731643
150	0.07893153525
151	0.07816516648
152	0.07737266791
153	0.07656258076
154	0.07641580058
155	0.07563489719
156	0.0748759761
157	0.07388224664
158	0.07312994884
159	0.07305346173
160	0.07249762691
161	0.07180111703
162	0.07107741381
163	0.07040695274
164	0.06987164229
165	0.0691724806
166	0.06868938149
167	0.06824658495
168	0.06773135405
169	0.06705258709
170	0.06659294698
171	0.06597128254
172	0.06557845819
173	0.06495108413
174	0.06452646361
175	0.06418812972
176	0.06379822642
177	0.06350813002
178	0.0629657735
179	0.0625073731
180	0.06213825057
181	0.06170754633
182	0.06115632857
183	0.06066482002
184	0.06030316798
185	0.05987809827
186	0.05956973335
187	0.05918498555
188	0.05845321361
189	0.05813890482
190	0.05759090298
191	0.05718448423
192	0.0570150192
193	0.05666294729
194	0.05615068966
195	0.05594838406
196	0.05579196149
197	0.05560084182
198	0.05539605917
199	0.05495693962
